Age,Height,family_history_with_overweight,FAVC,SMOKE,SCC,CAEC,CALC,FCVC,NCP,CH2O,FAF,TUE,MTRANS_Automobile,MTRANS_Bike,MTRANS_Motorbike,MTRANS_Public_Transportation,MTRANS_Walking,Gender_Male
-0.6934572102549217,2.981046115329929,1.0,1.0,0.0,0.0,3.0,1.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
-1.00794466720505,-0.8910089423626136,1.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.37896975330479343,-2.1816939615934627,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.5079549883959762,-0.24566643274719152,0.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
-0.37896975330479343,1.4752469262272738,1.0,1.0,0.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
-1.3224321241551782,-0.9985660272985177,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-1.3224321241551782,-0.3532235176830956,1.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
-0.8507009387299859,-0.03055226287538336,0.0,1.0,0.0,0.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2.451417359246361,-1.5363514519780381,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.06448229635466514,-0.4607806026189997,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
-0.06448229635466514,-0.03055226287538336,1.0,1.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
-0.37896975330479343,-0.5683376875549038,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
-1.00794466720505,-0.8910089423626136,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
-1.1651883956801141,0.1845619069964248,0.0,1.0,0.0,0.0,3.0,0.0,2.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
-0.8507009387299859,-0.3532235176830956,0.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
-0.22172602482972928,0.399676076868233,1.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
